race_id,race_date,race_name,course_type,distance,direction,ground_condition,weather,ground_condition_code,weather_code
202535050301,2025-05-03,ドラウマチック盛岡競(C2),ダート,1000,左,重,晴,2,0
202535050302,2025-05-03,C2,ダート,1000,左,重,晴,2,0
202535050303,2025-05-03,C2十一組,ダート,1200,左,重,晴,2,0
202535050304,2025-05-03,C2十組,ダート,1200,左,重,晴,2,0
202535050305,2025-05-03,C2九組,ダート,1200,左,重,晴,2,0
202535050306,2025-05-03,B2,ダート,1400,左,重,晴,2,0
202535050307,2025-05-03,B2,ダート,1400,左,重,晴,2,0
202535050308,2025-05-03,B1B2混合,ダート,1200,左,重,晴,2,0
202535050309,2025-05-03,B1,ダート,1400,左,重,晴,2,0
202535050310,2025-05-03,いわてくじ山形村短角(B1),ダート,1400,左,重,晴,2,0
202535050311,2025-05-03,メイカップ(B2),ダート,1800,左,重,晴,2,0
202535050401,2025-05-04,ファーストステップ2(2歳),ダート,1000,左,不良,曇,3,1
202535050402,2025-05-04,C2八組,ダート,1200,左,不良,曇,3,1
202535050403,2025-05-04,C2七組,ダート,1200,左,不良,曇,3,1
202535050404,2025-05-04,C2六組,ダート,1200,左,不良,曇,3,1
202535050405,2025-05-04,3歳B1二組,ダート,1400,左,不良,曇,3,1
202535050406,2025-05-04,3歳B1一組,ダート,1400,左,不良,曇,3,1
202535050407,2025-05-04,B2,ダート,1200,左,不良,曇,3,1
202535050408,2025-05-04,B2,ダート,1200,左,不良,曇,3,1
202535050409,2025-05-04,B2,ダート,1200,左,不良,曇,3,1
202535050410,2025-05-04,シベリアンアイリス賞(B1),ダート,1600,左,不良,曇,3,1
202535050411,2025-05-04,B1一組,ダート,1600,左,不良,曇,3,1
202535050412,2025-05-04,第45回ダイヤモンドカップ(重賞),ダート,1800,左,不良,曇,3,1
202535050501,2025-05-05,C2,ダート,1000,左,重,曇,2,1
202535050502,2025-05-05,C2,ダート,1000,左,重,曇,2,1
202535050503,2025-05-05,C2五組,ダート,1400,左,重,曇,2,1
202535050504,2025-05-05,C2四組,ダート,1400,左,重,曇,2,1
202535050505,2025-05-05,C2三組,ダート,1400,左,重,曇,2,1
202535050506,2025-05-05,3歳B2二組,ダート,1400,左,重,曇,2,1
202535050507,2025-05-05,3歳B2一組,ダート,1400,左,重,晴,2,0
202535050508,2025-05-05,B2二組,ダート,1600,左,稍重,晴,1,0
202535050509,2025-05-05,B2一組,ダート,1600,左,稍重,晴,1,0
202535050510,2025-05-05,コスプレ&アニメfe(B1),ダート,1200,左,稍重,晴,1,0
202535050511,2025-05-05,夢・希望未来へ前進(B1),ダート,1200,左,稍重,晴,1,0
202535050601,2025-05-06,C2二組,ダート,1400,左,稍重,曇,1,1
202535050602,2025-05-06,C2一組,ダート,1400,左,稍重,曇,1,1
202535050603,2025-05-06,3歳C2二組,ダート,1200,左,稍重,曇,1,1
202535050604,2025-05-06,3歳C2一組,ダート,1200,左,稍重,曇,1,1
202535050605,2025-05-06,3歳C1二組,ダート,1400,左,稍重,曇,1,1
202535050606,2025-05-06,3歳C1一組,ダート,1400,左,稍重,曇,1,1
202535050607,2025-05-06,C1,ダート,1000,左,稍重,曇,1,1
202535050608,2025-05-06,C1,ダート,1000,左,稍重,小雨,1,2
202535050609,2025-05-06,C1五組,ダート,1400,左,稍重,小雨,1,2
202535050610,2025-05-06,ハヤテ特別,ダート,1200,左,稍重,小雨,1,2
202535050611,2025-05-06,スプリント特別,ダート,1200,左,稍重,小雨,1,2
202535050701,2025-05-07,C1,ダート,1000,左,不良,小雨,3,2
202535050702,2025-05-07,C1,ダート,1000,左,不良,曇,3,1
202535050703,2025-05-07,C1,ダート,1400,左,不良,曇,3,1
202535050704,2025-05-07,C1,ダート,1400,左,不良,曇,3,1
202535050705,2025-05-07,C1,ダート,1400,左,不良,曇,3,1
202535050706,2025-05-07,C1,ダート,1400,左,不良,小雨,3,2
202535050707,2025-05-07,C1二組,ダート,1600,左,不良,小雨,3,2
202535050708,2025-05-07,C1一組,ダート,1600,左,不良,小雨,3,2
202535050709,2025-05-07,C1四組,ダート,1400,左,不良,雨,3,3
202535050710,2025-05-07,C1三組,ダート,1400,左,不良,小雨,3,2
202535050711,2025-05-07,牡丹特別(A),ダート,1600,左,不良,小雨,3,2
202535050712,2025-05-07,皐月特別(A),ダート,1600,左,不良,小雨,3,2
202535051101,2025-05-11,ファーストステップ2(2歳),ダート,1000,左,重,曇,2,1
202535051102,2025-05-11,ファーストステップ2(2歳),ダート,1000,左,重,曇,2,1
202535051103,2025-05-11,C2十組,ダート,1200,左,重,曇,2,1
202535051104,2025-05-11,C2九組,ダート,1200,左,重,曇,2,1
202535051105,2025-05-11,C2八組,ダート,1200,左,重,曇,2,1
202535051106,2025-05-11,C2,ダート,1000,左,重,曇,2,1
202535051107,2025-05-11,3歳A,ダート,1600,左,重,曇,2,1
202535051108,2025-05-11,B2,ダート,1400,左,重,曇,2,1
202535051109,2025-05-11,ムスカリ賞(B2),ダート,1400,左,重,曇,2,1
202535051110,2025-05-11,魁三国志大戦リリース(B1),ダート,1400,左,重,曇,2,1
202535051111,2025-05-11,夢・希望未来へ前進(B1),ダート,1400,左,重,曇,2,1
202535051201,2025-05-12,C2,ダート,1000,左,重,曇,2,1
202535051202,2025-05-12,C2,ダート,1000,左,重,曇,2,1
202535051203,2025-05-12,C2七組,ダート,1200,左,重,曇,2,1
202535051204,2025-05-12,C2六組,ダート,1200,左,重,曇,2,1
202535051205,2025-05-12,C2五組,ダート,1200,左,重,曇,2,1
202535051206,2025-05-12,3歳B1二組,ダート,1400,左,重,曇,2,1
202535051207,2025-05-12,3歳B1一組,ダート,1400,左,重,曇,2,1
202535051208,2025-05-12,B2三組,ダート,1600,左,重,曇,2,1
202535051209,2025-05-12,B2二組,ダート,1600,左,重,曇,2,1
202535051210,2025-05-12,ハイドランジア賞(B2),ダート,1600,左,重,曇,2,1
202535051211,2025-05-12,ホワイトクローバー賞(B2),ダート,1000,左,重,曇,2,1
202535051212,2025-05-12,GloriousDa(B2),ダート,1000,左,重,曇,2,1
202535051301,2025-05-13,C2四組,ダート,1400,左,重,晴,2,0
202535051302,2025-05-13,C2三組,ダート,1400,左,重,晴,2,0
202535051303,2025-05-13,C2二組,ダート,1400,左,重,晴,2,0
202535051304,2025-05-13,C2一組,ダート,1400,左,稍重,晴,1,0
202535051305,2025-05-13,B1,ダート,1000,左,稍重,晴,1,0
202535051306,2025-05-13,B1,ダート,1000,左,稍重,晴,1,0
202535051307,2025-05-13,3歳B2二組,ダート,1400,左,稍重,晴,1,0
202535051308,2025-05-13,3歳B2一組,ダート,1400,左,稍重,晴,1,0
202535051309,2025-05-13,B2,ダート,1400,左,稍重,晴,1,0
202535051310,2025-05-13,B1,ダート,1600,左,稍重,晴,1,0
202535051311,2025-05-13,紫陽花賞(B1),ダート,1800,左,稍重,晴,1,0
202535051801,2025-05-18,C2,ダート,1000,左,重,曇,2,1
202535051802,2025-05-18,C2十組,ダート,1200,左,重,曇,2,1
202535051803,2025-05-18,C2九組,ダート,1200,左,重,曇,2,1
202535051804,2025-05-18,C2八組,ダート,1200,左,重,曇,2,1
202535051805,2025-05-18,3歳C1二組,ダート,1400,左,重,曇,2,1
202535051806,2025-05-18,3歳C1一組,ダート,1400,左,重,曇,2,1
202535051807,2025-05-18,C1,ダート,1400,左,重,曇,2,1
202535051808,2025-05-18,C1,ダート,1400,左,重,曇,2,1
202535051809,2025-05-18,ディセントラ賞(C1),ダート,1400,左,重,曇,2,1
202535051810,2025-05-18,C1,ダート,1400,左,重,曇,2,1
202535051811,2025-05-18,第50回シアンモア記念(重賞),ダート,1600,左,重,曇,2,1
202535051901,2025-05-19,C2,ダート,1000,左,重,晴,2,0
202535051902,2025-05-19,C2,ダート,1000,左,重,晴,2,0
202535051903,2025-05-19,C2七組,ダート,1400,左,重,晴,2,0
202535051904,2025-05-19,C2六組,ダート,1400,左,稍重,晴,1,0
202535051905,2025-05-19,C2五組,ダート,1400,左,稍重,晴,1,0
202535051906,2025-05-19,3歳C2二組,ダート,1200,左,稍重,晴,1,0
202535051907,2025-05-19,3歳C2一組,ダート,1200,左,稍重,晴,1,0
202535051908,2025-05-19,C1,ダート,1200,左,稍重,晴,1,0
202535051909,2025-05-19,C1一組,ダート,1600,左,稍重,晴,1,0
202535051910,2025-05-19,陽光特別(A),ダート,1600,左,稍重,晴,1,0
202535051911,2025-05-19,青葉特別(A),ダート,1600,左,稍重,晴,1,0
202535051912,2025-05-19,新緑賞(C1),ダート,1600,左,稍重,晴,1,0
202535052001,2025-05-20,C2四組,ダート,1400,左,不良,曇,3,1
202535052002,2025-05-20,C2三組,ダート,1400,左,不良,曇,3,1
202535052003,2025-05-20,C2二組,ダート,1400,左,不良,晴,3,0
202535052004,2025-05-20,C2一組,ダート,1400,左,不良,晴,3,0
202535052005,2025-05-20,C1,ダート,1200,左,重,晴,2,0
202535052006,2025-05-20,C1,ダート,1200,左,重,晴,2,0
202535052007,2025-05-20,C1,ダート,1200,左,重,晴,2,0
202535052008,2025-05-20,C1,ダート,1200,左,重,晴,2,0
202535052009,2025-05-20,C1三組,ダート,1400,左,重,晴,2,0
202535052010,2025-05-20,C1二組,ダート,1400,左,重,晴,2,0
202535052011,2025-05-20,ハヤテ特別,ダート,1000,左,重,晴,2,0
202535052012,2025-05-20,スプリント特別,ダート,1000,左,重,晴,2,0
202535052501,2025-05-25,ファーストステップ2(2歳),ダート,1000,左,不良,小雨,3,2
202535052502,2025-05-25,ファーストステップ2(2歳),ダート,1000,左,不良,小雨,3,2
202535052503,2025-05-25,C2九組,ダート,1200,左,不良,小雨,3,2
202535052504,2025-05-25,C2八組,ダート,1200,左,不良,小雨,3,2
202535052505,2025-05-25,C2七組,ダート,1200,左,不良,小雨,3,2
202535052506,2025-05-25,C2,ダート,1000,左,不良,小雨,3,2
202535052507,2025-05-25,3歳B1,ダート,1600,左,不良,小雨,3,2
202535052508,2025-05-25,B1,ダート,1400,左,不良,小雨,3,2
202535052509,2025-05-25,阿原山高原賞(B1),ダート,1400,左,不良,小雨,3,2
202535052510,2025-05-25,オーキッド賞(B1),ダート,1400,左,不良,小雨,3,2
202535052511,2025-05-25,第13回イーハトーブマイル(重賞),ダート,1600,左,不良,小雨,3,2
202535052601,2025-05-26,2歳,ダート,1200,左,重,晴,2,0
202535052602,2025-05-26,C2,ダート,1000,左,重,晴,2,0
202535052603,2025-05-26,C2,ダート,1000,左,重,晴,2,0
202535052604,2025-05-26,C2六組,ダート,1200,左,重,晴,2,0
202535052605,2025-05-26,C2五組,ダート,1200,左,重,晴,2,0
202535052606,2025-05-26,C2四組,ダート,1200,左,稍重,曇,1,1
202535052607,2025-05-26,3歳B2,ダート,1400,左,稍重,曇,1,1
202535052608,2025-05-26,B2,ダート,1400,左,稍重,曇,1,1
202535052609,2025-05-26,B2,ダート,1400,左,稍重,曇,1,1
202535052610,2025-05-26,ネモフィラ賞(B2),ダート,1400,左,稍重,曇,1,1
202535052611,2025-05-26,ラビットイヤー賞(B2),ダート,1600,左,稍重,曇,1,1
202535052612,2025-05-26,夢・希望未来へ前進(B2),ダート,1600,左,稍重,曇,1,1
202535052701,2025-05-27,C2三組,ダート,1400,左,稍重,晴,1,0
202535052702,2025-05-27,C2二組,ダート,1400,左,稍重,晴,1,0
202535052703,2025-05-27,C2一組,ダート,1400,左,稍重,晴,1,0
202535052704,2025-05-27,3歳C1二組,ダート,1400,左,稍重,晴,1,0
202535052705,2025-05-27,3歳C1一組,ダート,1400,左,稍重,晴,1,0
202535052706,2025-05-27,B2,ダート,1200,左,稍重,晴,1,0
202535052707,2025-05-27,B2,ダート,1200,左,稍重,晴,1,0
202535052708,2025-05-27,B2,ダート,1200,左,良,晴,0,0
202535052709,2025-05-27,B1二組,ダート,1600,左,良,晴,0,0
202535052710,2025-05-27,B1一組,ダート,1600,左,良,晴,0,0
202535052711,2025-05-27,B1,ダート,1200,左,良,晴,0,0
202535052712,2025-05-27,マグオート賞(B1),ダート,1200,左,良,晴,0,0
202535060101,2025-06-01,C2,ダート,1000,左,良,曇,0,1
202535060102,2025-06-01,C2九組,ダート,1200,左,良,曇,0,1
202535060103,2025-06-01,C2八組,ダート,1200,左,良,曇,0,1
202535060104,2025-06-01,C2七組,ダート,1200,左,良,曇,0,1
202535060105,2025-06-01,3歳C2二組,ダート,1200,左,良,晴,0,0
202535060106,2025-06-01,3歳C2一組,ダート,1200,左,良,晴,0,0
202535060107,2025-06-01,C1,ダート,1400,左,良,晴,0,0
202535060108,2025-06-01,C1,ダート,1400,左,良,晴,0,0
202535060109,2025-06-01,C1二組,ダート,1600,左,良,晴,0,0
202535060110,2025-06-01,大船渡穴通磯賞(C1),ダート,1600,左,良,晴,0,0
202535060111,2025-06-01,第26回あすなろ賞(重賞),ダート,1800,左,良,晴,0,0
202535060201,2025-06-02,C2,ダート,1000,左,良,晴,0,0
202535060202,2025-06-02,C2,ダート,1000,左,良,晴,0,0
202535060203,2025-06-02,C2六組,ダート,1400,左,良,晴,0,0
202535060204,2025-06-02,C2五組,ダート,1400,左,良,晴,0,0
202535060205,2025-06-02,C2四組,ダート,1400,左,良,晴,0,0
202535060206,2025-06-02,3歳C2四組,ダート,1200,左,良,晴,0,0
202535060207,2025-06-02,3歳C2三組,ダート,1200,左,良,晴,0,0
202535060208,2025-06-02,C1,ダート,1000,左,良,晴,0,0
202535060209,2025-06-02,C1,ダート,1400,左,良,晴,0,0
202535060210,2025-06-02,シェパーズパース賞(C1),ダート,1400,左,良,晴,0,0
202535060211,2025-06-02,麦秋特別(A),ダート,1600,左,良,晴,0,0
202535060212,2025-06-02,初夏特別(A),ダート,1600,左,良,晴,0,0
202535060301,2025-06-03,C2三組,ダート,1400,左,良,曇,0,1
202535060302,2025-06-03,C2二組,ダート,1400,左,良,曇,0,1
202535060303,2025-06-03,C2一組,ダート,1400,左,良,曇,0,1
202535060304,2025-06-03,C1,ダート,1000,左,良,曇,0,1
202535060305,2025-06-03,C1,ダート,1000,左,良,曇,0,1
202535060306,2025-06-03,C1,ダート,1400,左,良,曇,0,1
202535060307,2025-06-03,C1,ダート,1400,左,良,曇,0,1
202535060308,2025-06-03,C1五組,ダート,1400,左,良,曇,0,1
202535060309,2025-06-03,C1四組,ダート,1400,左,良,曇,0,1
202535060310,2025-06-03,ダービーインパクト1(C1),ダート,1400,左,良,曇,0,1
202535060311,2025-06-03,ハヤテ特別,ダート,1200,左,良,曇,0,1
202535060312,2025-06-03,スプリント特別,ダート,1200,左,良,曇,0,1
202535070601,2025-07-06,ファーストステップ2(2歳),芝,1000,左,稍重,曇,1,1
202535070602,2025-07-06,ファーストステップ2(2歳),ダート,1000,左,稍重,曇,1,1
202535070603,2025-07-06,C2十一組,ダート,1200,左,稍重,曇,1,1
202535070604,2025-07-06,C2十組,ダート,1200,左,稍重,曇,1,1
202535070605,2025-07-06,C2九組,ダート,1200,左,稍重,曇,1,1
202535070606,2025-07-06,C2八組,ダート,1200,左,稍重,曇,1,1
202535070607,2025-07-06,C2七組,ダート,1200,左,良,曇,0,1
202535070608,2025-07-06,C2,ダート,1000,左,良,曇,0,1
202535070609,2025-07-06,3歳B1,ダート,1600,左,良,曇,0,1
202535070610,2025-07-06,西和賀弁天島賞(B1),ダート,1400,左,良,曇,0,1
202535070611,2025-07-06,セリフォス特別(B1),ダート,1400,左,良,曇,0,1
202535070612,2025-07-06,第18回サファイア賞(重賞),芝,1700,左,良,曇,0,1
202535070701,2025-07-07,C2,ダート,1000,左,良,曇,0,1
202535070702,2025-07-07,C2,ダート,1000,左,良,曇,0,1
202535070703,2025-07-07,C2六組,ダート,1200,左,良,曇,0,1
202535070704,2025-07-07,C2五組,ダート,1200,左,良,曇,0,1
202535070705,2025-07-07,C2四組,ダート,1200,左,良,晴,0,0
202535070706,2025-07-07,2歳,ダート,1400,左,良,晴,0,0
202535070707,2025-07-07,2歳,ダート,1400,左,良,晴,0,0
202535070708,2025-07-07,3歳C1,ダート,1400,左,良,晴,0,0
202535070709,2025-07-07,3歳B2,ダート,1400,左,良,晴,0,0
202535070710,2025-07-07,B1B2混合,ダート,1000,左,良,晴,0,0
202535070711,2025-07-07,ドウデュース特別(B1),ダート,1000,左,良,晴,0,0
202535070712,2025-07-07,ジュライカップ(B2),ダート,1600,左,良,晴,0,0
202535070801,2025-07-08,2歳,ダート,1200,左,良,晴,0,0
202535070802,2025-07-08,C2三組,ダート,1400,左,良,晴,0,0
202535070803,2025-07-08,C2二組,ダート,1400,左,良,晴,0,0
202535070804,2025-07-08,C2一組,ダート,1400,左,良,晴,0,0
202535070805,2025-07-08,B1二組,ダート,1600,左,良,晴,0,0
202535070806,2025-07-08,B1一組,ダート,1600,左,良,晴,0,0
202535070807,2025-07-08,B2,ダート,1600,左,良,晴,0,0
202535070808,2025-07-08,B2,ダート,1000,左,良,晴,0,0
202535070809,2025-07-08,アメジスト賞(3歳),芝,1700,左,良,晴,0,0
202535070810,2025-07-08,B2,ダート,1400,左,良,晴,0,0
202535070811,2025-07-08,ジャックドール特別(B1B2),ダート,1400,左,良,晴,0,0
202535070812,2025-07-08,第13回ハヤテスプリント(重賞),ダート,1200,左,良,晴,0,0
202535071301,2025-07-13,C2,ダート,1000,左,良,晴,0,0
202535071302,2025-07-13,C2十組,ダート,1200,左,良,晴,0,0
202535071303,2025-07-13,C2九組,ダート,1200,左,良,晴,0,0
202535071304,2025-07-13,C2八組,ダート,1200,左,良,晴,0,0
202535071305,2025-07-13,C2七組,ダート,1200,左,良,晴,0,0
202535071306,2025-07-13,3歳C2一組,ダート,1200,左,良,晴,0,0
202535071307,2025-07-13,C1,ダート,1200,左,良,晴,0,0
202535071308,2025-07-13,C1二組,ダート,1600,左,良,晴,0,0
202535071309,2025-07-13,がんばれ!新種牡馬競(C1),ダート,1600,左,良,晴,0,0
202535071310,2025-07-13,スプリント特別,ダート,1200,左,良,晴,0,0
202535071311,2025-07-13,第57回岩鷲賞(重賞),ダート,1200,左,良,晴,0,0
202535071401,2025-07-14,C2,ダート,1000,左,良,晴,0,0
202535071402,2025-07-14,C2,ダート,1000,左,良,曇,0,1
202535071403,2025-07-14,C2六組,ダート,1400,左,良,曇,0,1
202535071404,2025-07-14,C2五組,ダート,1400,左,良,曇,0,1
202535071405,2025-07-14,C2四組,ダート,1400,左,良,小雨,0,2
202535071406,2025-07-14,3歳C2三組,ダート,1200,左,良,曇,0,1
202535071407,2025-07-14,3歳C2二組,ダート,1200,左,良,曇,0,1
202535071408,2025-07-14,向日葵特別(A),ダート,1600,左,良,曇,0,1
202535071409,2025-07-14,文月特別(A),ダート,1600,左,良,曇,0,1
202535071410,2025-07-14,ポーチュラカ賞(C1),ダート,1400,左,良,曇,0,1
202535071411,2025-07-14,がんばれ!新種牡馬競(C1),ダート,1400,左,良,曇,0,1
202535071412,2025-07-14,夢・希望未来へ前進(C1),ダート,1400,左,良,曇,0,1
202535071501,2025-07-15,3歳C2五組,ダート,1200,左,良,小雨,0,2
202535071502,2025-07-15,3歳C2四組,ダート,1200,左,良,小雨,0,2
202535071503,2025-07-15,C2三組,ダート,1400,左,良,小雨,0,2
202535071504,2025-07-15,C2二組,ダート,1400,左,良,小雨,0,2
202535071505,2025-07-15,C2一組,ダート,1400,左,良,小雨,0,2
